Energie	Gemessen	WT	DM	Red
0,000000	0,000029	0,000000	0,000000	0,000000
2,000000	-0,000100	0,000000	0,000000	0,000000
4,000000	0,000072	0,000000	0,000000	0,000000
6,000000	0,000090	0,000000	0,000000	0,000000
8,000000	-0,000187	0,000000	0,000000	0,000000
10,000000	-0,000125	0,000000	0,000000	0,000000
12,000000	0,000012	0,000000	0,000000	0,000000
14,000000	-0,000030	0,000000	0,000000	0,000000
16,000000	-0,000002	0,000000	0,000000	0,000000
18,000000	-0,000082	0,000000	0,000000	0,000000
20,000000	0,000084	0,000000	0,000000	0,000000
22,000000	0,000075	0,000000	0,000000	0,000000
24,000000	0,000006	0,000000	0,000000	0,000000
26,000000	0,000108	0,000000	0,000000	0,000000
28,000000	0,000045	0,000000	0,000000	0,000000
30,000000	-0,000082	0,000000	0,000000	0,000000
32,000000	0,000035	0,000000	0,000000	0,000000
34,000000	-0,000092	0,000000	0,000000	0,000000
36,000000	0,000084	0,000000	0,000000	0,000000
38,000000	-0,000005	0,000000	0,000000	0,000001
40,000000	-0,000017	0,000000	0,000000	0,000002
42,000000	-0,000064	0,000001	0,000000	0,000004
44,000000	0,000119	0,000001	0,000000	0,000009
46,000000	-0,000011	0,000002	0,000000	0,000019
48,000000	-0,000033	0,000004	0,000000	0,000036
50,000000	-0,000019	0,000008	0,000000	0,000067
52,000000	0,000077	0,000015	0,000000	0,000119
54,000000	0,000081	0,000027	0,000000	0,000204
56,000000	0,000116	0,000048	0,000000	0,000336
58,000000	0,000166	0,000081	0,000001	0,000533
60,000000	0,000401	0,000133	0,000001	0,000811
62,000000	0,000257	0,000213	0,000002	0,001186
64,000000	0,000385	0,000333	0,000004	0,001666
66,000000	0,000540	0,000505	0,000008	0,002249
68,000000	0,000911	0,000745	0,000015	0,002917
70,000000	0,001249	0,001069	0,000026	0,003635
72,000000	0,001476	0,001492	0,000044	0,004352
74,000000	0,001806	0,002025	0,000074	0,005006
76,000000	0,002257	0,002674	0,000120	0,005532
78,000000	0,002889	0,003433	0,000190	0,005874
80,000000	0,003416	0,004288	0,000292	0,005993
82,000000	0,003928	0,005208	0,000436	0,005874
84,000000	0,004340	0,006152	0,000635	0,005532
86,000000	0,004930	0,007069	0,000898	0,005006
88,000000	0,005380	0,007900	0,001236	0,004352
90,000000	0,005785	0,008586	0,001655	0,003635
92,000000	0,006160	0,009077	0,002154	0,002917
94,000000	0,006310	0,009332	0,002728	0,002249
96,000000	0,006456	0,009332	0,003360	0,001666
98,000000	0,006384	0,009077	0,004024	0,001186
100,000000	0,006278	0,008586	0,004689	0,000811
102,000000	0,006079	0,007900	0,005313	0,000534
104,000000	0,005556	0,007069	0,005856	0,000338
106,000000	0,005267	0,006152	0,006277	0,000207
108,000000	0,004801	0,005208	0,006544	0,000123
110,000000	0,004299	0,004288	0,006635	0,000074
112,000000	0,003832	0,003433	0,006544	0,000048
114,000000	0,003503	0,002674	0,006277	0,000038
116,000000	0,002794	0,002026	0,005856	0,000040
118,000000	0,002516	0,001493	0,005313	0,000052
120,000000	0,001845	0,001071	0,004689	0,000074
122,000000	0,001603	0,000748	0,004024	0,000108
124,000000	0,001328	0,000510	0,003360	0,000157
126,000000	0,001096	0,000342	0,002728	0,000224
128,000000	0,000887	0,000227	0,002154	0,000314
130,000000	0,000722	0,000155	0,001655	0,000431
132,000000	0,000487	0,000114	0,001236	0,000579
134,000000	0,000394	0,000099	0,000898	0,000763
136,000000	0,000477	0,000103	0,000635	0,000985
138,000000	0,000369	0,000127	0,000436	0,001245
140,000000	0,000290	0,000169	0,000292	0,001543
142,000000	0,000357	0,000231	0,000191	0,001873
144,000000	0,000457	0,000318	0,000122	0,002228
146,000000	0,000697	0,000432	0,000076	0,002596
148,000000	0,000791	0,000578	0,000049	0,002965
150,000000	0,000992	0,000761	0,000033	0,003317
152,000000	0,001054	0,000984	0,000026	0,003636
154,000000	0,001297	0,001251	0,000026	0,003905
156,000000	0,001545	0,001562	0,000032	0,004109
158,000000	0,001673	0,001917	0,000044	0,004237
160,000000	0,001976	0,002310	0,000064	0,004280
162,000000	0,002104	0,002735	0,000093	0,004237
164,000000	0,002371	0,003181	0,000133	0,004109
166,000000	0,002605	0,003635	0,000189	0,003905
168,000000	0,002754	0,004080	0,000265	0,003636
170,000000	0,003128	0,004499	0,000364	0,003317
172,000000	0,003229	0,004874	0,000494	0,002965
174,000000	0,003441	0,005187	0,000660	0,002596
176,000000	0,003623	0,005423	0,000867	0,002228
178,000000	0,003724	0,005569	0,001122	0,001873
180,000000	0,003815	0,005619	0,001430	0,001543
182,000000	0,003779	0,005569	0,001794	0,001245
184,000000	0,003754	0,005423	0,002215	0,000985
186,000000	0,003768	0,005187	0,002693	0,000763
188,000000	0,003573	0,004874	0,003223	0,000580
190,000000	0,003540	0,004500	0,003797	0,000431
192,000000	0,003487	0,004082	0,004405	0,000315
194,000000	0,003448	0,003638	0,005031	0,000226
196,000000	0,003511	0,003186	0,005656	0,000159
198,000000	0,003317	0,002744	0,006261	0,000111
200,000000	0,003301	0,002324	0,006822	0,000078
202,000000	0,003396	0,001940	0,007319	0,000057
204,000000	0,003172	0,001600	0,007731	0,000046
206,000000	0,003210	0,001311	0,008039	0,000042
208,000000	0,002979	0,001078	0,008229	0,000047
210,000000	0,002974	0,000903	0,008294	0,000059
212,000000	0,002824	0,000789	0,008229	0,000080
214,000000	0,002803	0,000739	0,008039	0,000112
216,000000	0,002840	0,000757	0,007731	0,000158
218,000000	0,002528	0,000845	0,007319	0,000219
220,000000	0,002689	0,001009	0,006822	0,000301
222,000000	0,002651	0,001252	0,006261	0,000408
224,000000	0,002590	0,001579	0,005656	0,000545
226,000000	0,002573	0,001990	0,005031	0,000716
228,000000	0,002835	0,002486	0,004405	0,000927
230,000000	0,002948	0,003060	0,003797	0,001181
232,000000	0,003247	0,003702	0,003223	0,001481
234,000000	0,003502	0,004395	0,002693	0,001829
236,000000	0,003966	0,005117	0,002216	0,002223
238,000000	0,004127	0,005840	0,001795	0,002661
240,000000	0,004395	0,006532	0,001432	0,003136
242,000000	0,004838	0,007160	0,001126	0,003637
244,000000	0,005135	0,007689	0,000873	0,004154
246,000000	0,005482	0,008092	0,000669	0,004670
248,000000	0,005597	0,008343	0,000508	0,005170
250,000000	0,005631	0,008428	0,000387	0,005634
252,000000	0,005725	0,008343	0,000299	0,006044
254,000000	0,005366	0,008091	0,000242	0,006384
256,000000	0,005227	0,007689	0,000212	0,006638
258,000000	0,004930	0,007159	0,000207	0,006795
260,000000	0,004650	0,006531	0,000229	0,006849
262,000000	0,004181	0,005837	0,000277	0,006795
264,000000	0,003974	0,005112	0,000354	0,006638
266,000000	0,003488	0,004387	0,000463	0,006384
268,000000	0,002976	0,003688	0,000608	0,006044
270,000000	0,002657	0,003038	0,000793	0,005634
272,000000	0,002461	0,002452	0,001021	0,005170
274,000000	0,002236	0,001939	0,001295	0,004670
276,000000	0,002126	0,001503	0,001616	0,004154
278,000000	0,002047	0,001141	0,001981	0,003637
280,000000	0,001693	0,000849	0,002387	0,003136
282,000000	0,001493	0,000619	0,002826	0,002661
284,000000	0,001359	0,000442	0,003287	0,002223
286,000000	0,001597	0,000310	0,003756	0,001829
288,000000	0,001526	0,000213	0,004216	0,001481
290,000000	0,001612	0,000145	0,004649	0,001181
292,000000	0,001645	0,000097	0,005036	0,000927
294,000000	0,001738	0,000066	0,005359	0,000716
296,000000	0,001890	0,000047	0,005603	0,000545
298,000000	0,001822	0,000036	0,005754	0,000408
